,Last,First,Play Time,Minutes,Seconds,Goals,Shots,Action Goals,Action Shots,Center Goals,Center Shots,Extra Goals,Extra Shots,Foul Goals,Foul Shots,PS Goals,PS Shots,CA Goals,CA Shots,TF,ST,BL,SP Won,SP Attempts,CP EX,FP EX,DE EX,P EX,Total EX,Team,Opponent,Outcome,Tournament,stat_type,Match Number,Ref 1,Ref 2
516,MALLARACH GUELL,Blai,14:11,14,11,2,2,0,0,,,2,2,,,,,,,1,,1,,,,0,,,0,ESP,AUS,W,OLY2020,Player,20,DERVIEUX,ALEXANDRESCU
517,BUSTOS SANCHEZ,Ale andro,12:11,12,11,0,1,0,0,,,0,1,,,,,,,1,,,,,2,0,,,2,ESP,AUS,W,OLY2020,Player,20,DERVIEUX,ALEXANDRESCU
518,,,,,,16,30,5,16,1,1,6,9,,,3,3,1,1,5,6,2,4,4,7,1,,,8,ESP,AUS,W,OLY2020,Team,20,DERVIEUX,ALEXANDRESCU
519,BIJAC,Marko,32:00:00,32,0,,,0,0,,,,,,,,,,,,2,,,,,0,,,0,CRO,SRB,W,OLY2020,Player,21,DERVIEUX,ALEXANDRESCU
520,MACAN,Marko,6:54,6,54,,,0,0,,,,,,,,,,,,,1,,,3,0,,,3,CRO,SRB,W,OLY2020,Player,21,GOLDENBERG,ZWART
521,FATOVIC,Loren,23:24,23,24,0,2,0,0,,,0,2,,,,,,,,1,,,,,2,,,2,CRO,SRB,W,OLY2020,Player,21,GOLDENBERG,ZWART
522,LONCAR,Luka,13:28,13,28,1,2,0,0,0,1,,,,,,,1,1,2,,,,,,0,,,0,CRO,SRB,W,OLY2020,Player,21,GOLDENBERG,ZWART
523,JOKOVIC,Maro,23:51,23,51,4,9,1,5,,,2,3,,,,,1,1,,,,,,2,1,,,3,CRO,SRB,W,OLY2020,Player,21,GOLDENBERG,ZWART
524,BUKIC,Luka,26:18:00,26,18,3,4,1,1,,,2,3,,,,,,,,1,2,2,3,2,0,,,2,CRO,SRB,W,OLY2020,Player,21,GOLDENBERG,ZWART
525,VUKICEVIC,Ante,16:13,16,13,1,1,0,0,,,1,1,,,,,,,,,,,,1,2,,,3,CRO,SRB,W,OLY2020,Player,21,GOLDENBERG,ZWART
526,BUSLJE,Andro,15:32,15,32,1,3,1,3,,,,,,,,,,,,,,,,1,1,,,2,CRO,SRB,W,OLY2020,Player,21,GOLDENBERG,ZWART
