,Last,First,Play Time,Minutes,Seconds,Goals,Shots,Action Goals,Action Shots,Center Goals,Center Shots,Extra Goals,Extra Shots,Foul Goals,Foul Shots,PS Goals,PS Shots,CA Goals,CA Shots,TF,ST,BL,SP Won,SP Attempts,CP EX,FP EX,DE EX,P EX,Total EX,Team,Opponent,Outcome,Tournament,stat_type,Match Number,Ref 1,Ref 2
627,YOSHIDA,Takuma,17:35,17,35,0,1,0,0,,,0,1,,,,,,,,,,,,,0,,1,1,JPN,RSA,W,OLY2020,Player,25,PUTNIKOVIC,WALDOW
628,SHIMIZU,Yusuke,13:54,13,54,3,7,0,0,2,4,0,2,,,,,1,1,,,,,,,0,,,0,JPN,RSA,W,OLY2020,Player,25,PUTNIKOVIC,WALDOW
629,TAKATA,Mitsuru,15:32,15,32,2,3,0,1,,,,,,,,,2,2,,1,,,,1,1,,,2,JPN,RSA,W,OLY2020,Player,25,PUTNIKOVIC,WALDOW
630,ARAI,Atsushi,26:07:00,26,7,4,6,1,1,,,3,4,0,1,,,,,,,1,1,2,,1,,,1,JPN,RSA,W,OLY2020,Player,25,PUTNIKOVIC,WALDOW
631,INABA,Yusuke,23:15,23,15,3,9,2,4,,,0,3,,,1,1,0,1,,4,,,,,0,,,0,JPN,RSA,W,OLY2020,Player,25,PUTNIKOVIC,WALDOW
632,OKAWA,Keigo,22:45,22,45,3,3,0,0,,,,,,,,,3,3,,1,,,,1,0,,,1,JPN,RSA,W,OLY2020,Player,25,PUTNIKOVIC,WALDOW
633,ARAKI,Kenta,10:55,10,55,3,3,0,0,2,2,1,1,,,,,,,,,,,,,0,,,0,JPN,RSA,W,OLY2020,Player,25,PUTNIKOVIC,WALDOW
634,FUKUSHIMA,Tomoyoshi,32:00:00,32,0,,,0,0,,,,,,,,,,,,4,,,,1,0,,1,2,JPN,RSA,W,OLY2020,Player,25,PUTNIKOVIC,WALDOW
635,,,,,,24,43,5,11,4,6,6,14,0,1,2,3,7,8,1,14,1,3,4,5,4,,2,11,JPN,RSA,W,OLY2020,Team,25,PUTNIKOVIC,WALDOW
636,MADI,Lwazi,32:00:00,32,0,,,0,0,,,,,,,,,,,,2,,,,,0,,,0,RSA,JPN,L,OLY2020,Player,25,PUTNIKOVIC,WALDOW
637,CARD,Devon,19:24,19,24,1,3,0,0,0,2,1,1,,,,,,,2,,2,,,,0,,,0,RSA,JPN,L,OLY2020,Player,25,WALDOW,PUTNIKOVIC
638,REZELMAN,Timothy,8:47,8,47,0,1,0,0,,,0,1,,,,,,,1,,,,,,2,,1,3,RSA,JPN,L,OLY2020,Player,25,WALDOW,PUTNIKOVIC
639,BADENHORST,Nardus,19:36,19,36,2,6,1,3,,,1,1,0,1,0,1,,,,,,,,,1,,,1,RSA,JPN,L,OLY2020,Player,25,WALDOW,PUTNIKOVIC
640,LAURENSON,Cameron Bain,7:35,7,35,,,0,0,,,,,,,,,,,,,,,,1,0,,,1,RSA,JPN,L,OLY2020,Player,25,WALDOW,PUTNIKOVIC
641,STONE,Ross,15:19,15,19,1,1,0,0,,,1,1,,,,,,,,1,1,,,1,2,,,3,RSA,JPN,L,OLY2020,Player,25,WALDOW,PUTNIKOVIC
642,EVEZARD,Jason,18:59,18,59,,,0,0,,,,,,,,,,,,,,0,2,1,1,,1,3,RSA,JPN,L,OLY2020,Player,25,WALDOW,PUTNIKOVIC
643,RODDA,Nicholas,21:16,21,16,0,2,0,1,,,,,0,1,,,,,,,,1,1,,0,,,0,RSA,JPN,L,OLY2020,Player,25,WALDOW,PUTNIKOVIC
644,MARGRO,Yaseen,22:45,22,45,,,0,0,,,,,,,,,,,,1,1,0,1,,1,,,1,RSA,JPN,L,OLY2020,Player,25,WALDOW,PUTNIKOVIC
645,MAYMAN,Mogamad Farouk,14:40,14,40,,,0,0,,,,,,,,,,,,1,,,,1,0,,,1,RSA,JPN,L,OLY2020,Player,25,WALDOW,PUTNIKOVIC
646,NEILL,Liam,21:37,21,37,4,5,1,2,2,2,1,1,,,,,,,1,,,,,1,1,,,2,RSA,JPN,L,OLY2020,Player,25,WALDOW,PUTNIKOVIC
647,STEWART,Donn,22:02,22,2,1,5,0,2,,,1,2,,,0,1,,,1,2,,,,,0,,1,1,RSA,JPN,L,OLY2020,Player,25,WALDOW,PUTNIKOVIC
648,,,,,,9,23,2,8,2,4,5,7,0,2,0,2,,,9,7,4,1,4,5,8,,3,16,RSA,JPN,L,OLY2020,Team,25,WALDOW,PUTNIKOVIC
649,NAGY,Viktor,32:00:00,32,0,,,0,0,,,,,,,,,,,,,,,,,0,,,0,HUN,ITA,L,OLY2020,Player,26,WALDOW,PUTNIKOVIC
650,ANGYAL,Daniel,14:31,14,31,1,2,0,0,,,1,2,,,,,,,1,,1,,,1,1,,,2,HUN,ITA,L,OLY2020,Player,26,BUCH JUANOLA,VOEVODIN
651,MANHERCZ,Krisztian,25:43:00,25,43,0,7,0,4,,,0,2,,,,,0,1,,,1,0,1,,0,,,0,HUN,ITA,L,OLY2020,Player,26,BUCH JUANOLA,VOEVODIN
652,ZALANKI,Gergo,24:10:00,24,10,0,3,0,1,,,0,2,,,,,,,,,2,0,1,,0,,,0,HUN,ITA,L,OLY2020,Player,26,BUCH JUANOLA,VOEVODIN
653,VAMOS,Marton,25:45:00,25,45,0,1,0,0,,,0,1,,,,,,,,1,1,,,,0,,1,1,HUN,ITA,L,OLY2020,Player,26,BUCH JUANOLA,VOEVODIN
654,HOSNYANSZKY,Norbert,6:49,6,49,0,1,0,0,,,0,1,,,,,,,,,1,,,1,1,,,2,HUN,ITA,L,OLY2020,Player,26,BUCH JUANOLA,VOEVODIN
655,PASZTOR,Matyas,13:30,13,30,0,1,0,0,,,0,1,,,,,,,,,,,,,1,,,1,HUN,ITA,L,OLY2020,Player,26,BUCH JUANOLA,VOEVODIN
656,JANSIK,Szilard,13:16,13,16,1,1,1,1,,,,,,,,,,,,,,1,1,1,1,,,2,HUN,ITA,L,OLY2020,Player,26,BUCH JUANOLA,VOEVODIN
657,ERDELYI,Balazs,14:26,14,26,0,1,0,0,,,0,1,,,,,,,,,,0,1,1,0,,,1,HUN,ITA,L,OLY2020,Player,26,BUCH JUANOLA,VOEVODIN
658,VARGA,Denes,26:11:00,26,11,3,3,1,1,,,1,1,,,,,1,1,,,,,,,0,,,0,HUN,ITA,L,OLY2020,Player,26,BUCH JUANOLA,VOEVODIN
659,MEZEI,Tamas,13:55,13,55,,,0,0,,,,,,,,,,,2,1,,,,,2,,,2,HUN,ITA,L,OLY2020,Player,26,BUCH JUANOLA,VOEVODIN
660,HARAI,Balazs,13:44,13,44,0,1,0,0,0,1,,,,,,,,,2,,1,,,1,2,,,3,HUN,ITA,L,OLY2020,Player,26,BUCH JUANOLA,VOEVODIN
661,,,,,,5,21,2,7,0,1,2,11,,,,,1,2,6,2,7,1,4,5,8,,1,14,HUN,ITA,L,OLY2020,Team,26,BUCH JUANOLA,VOEVODIN
662,Del LUNGO,Marco,32:00:00,32,0,,,0,0,,,,,,,,,,,,,,,,,0,,,0,ITA,HUN,W,OLY2020,Player,26,BUCH JUANOLA,VOEVODIN
663,Di FULVIO,Francesco,25:23:00,25,23,1,9,0,5,,,1,4,,,,,,,1,,1,2,2,,0,,,0,ITA,HUN,W,OLY2020,Player,26,VOEVODIN,BUCH JUANOLA
664,LUONGO,Stefano,25:36:00,25,36,0,4,0,2,,,0,1,0,1,,,,,,,,0,1,,0,,,0,ITA,HUN,W,OLY2020,Player,26,VOEVODIN,BUCH JUANOLA
665,FIGLIOLI,Pietro,19:35,19,35,2,6,1,3,,,0,2,,,1,1,,,,1,1,1,1,,1,,,1,ITA,HUN,W,OLY2020,Player,26,VOEVODIN,BUCH JUANOLA
666,PRESCIUTTI,Nicholas,22:26,22,26,0,3,0,2,,,0,1,,,,,,,,3,,,,2,0,,,2,ITA,HUN,W,OLY2020,Player,26,VOEVODIN,BUCH JUANOLA
667,VELOTTO,Alessandro,8:43,8,43,0,1,0,1,,,,,,,,,,,,,,,,,1,,,1,ITA,HUN,W,OLY2020,Player,26,VOEVODIN,BUCH JUANOLA
668,RENZUTO IODICE,Vincenzo,14:20,14,20,,,0,0,,,,,,,,,,,1,,,,,1,0,,,1,ITA,HUN,W,OLY2020,Player,26,VOEVODIN,BUCH JUANOLA
669,ECHENIQUE,Gonzalo,28:50:00,28,50,1,4,0,3,,,1,1,,,,,,,,2,1,,,1,1,,,2,ITA,HUN,W,OLY2020,Player,26,VOEVODIN,BUCH JUANOLA
670,FIGARI,Niccolo,5:31,5,31,0,1,0,0,,,0,1,,,,,,,,,,,,2,1,,,3,ITA,HUN,W,OLY2020,Player,26,VOEVODIN,BUCH JUANOLA
671,BODEGAS,Michael Alexandre,15:51,15,51,0,1,0,0,,,0,1,,,,,,,2,2,1,,,,1,,,1,ITA,HUN,W,OLY2020,Player,26,VOEVODIN,BUCH JUANOLA
672,AICARDI,Matteo,15:42,15,42,1,1,0,0,,,1,1,,,,,,,1,,,,,1,0,,,1,ITA,HUN,W,OLY2020,Player,26,VOEVODIN,BUCH JUANOLA
673,DOLCE,Vincenzo,10:03,10,3,0,1,0,1,,,,,,,,,,,,,,,,2,0,,,2,ITA,HUN,W,OLY2020,Player,26,VOEVODIN,BUCH JUANOLA
674,,,,,,5,31,1,17,,,3,12,0,1,1,1,,,6,8,4,3,4,9,5,,,14,ITA,HUN,W,OLY2020,Team,26,VOEVODIN,BUCH JUANOLA
675,ZERDEVAS,Emmanouil,32:00:00,32,0,,,0,0,,,,,,,,,,,,1,,,,,0,,,0,GRE,USA,W,OLY2020,Player,27,VOEVODIN,BUCH JUANOLA
676,GENIDOUNIAS,Konstantinos,18:27,18,27,5,7,1,3,,,2,2,,,1,1,1,1,,2,,0,2,,0,,,0,GRE,USA,W,OLY2020,Player,27,ZWART,ALEXANDRESCU
677,SKOUMPAKIS,Dimitrios,10:19,10,19,1,3,1,2,,,0,1,,,,,,,,1,,,,3,0,,,3,GRE,USA,W,OLY2020,Player,27,ZWART,ALEXANDRESCU
678,KAPOTSIS,Marios,21:41,21,41,0,2,0,1,,,0,1,,,,,,,1,,1,,,1,0,,,1,GRE,USA,W,OLY2020,Player,27,ZWART,ALEXANDRESCU
679,FOUNTOULIS,Ioannis,25:05:00,25,5,4,4,2,2,,,1,1,,,,,1,1,3,1,2,,,,1,,,1,GRE,USA,W,OLY2020,Player,27,ZWART,ALEXANDRESCU
680,PAPANASTASIOU,Alexandros,21:10,21,10,,,0,0,,,,,,,,,,,,2,,1,2,,0,,,0,GRE,USA,W,OLY2020,Player,27,ZWART,ALEXANDRESCU
681,DERVISIS,Georgios,7:51,7,51,,,0,0,,,,,,,,,,,,,,,,1,2,,,3,GRE,USA,W,OLY2020,Player,27,ZWART,ALEXANDRESCU
682,ARGYROPOULOS KANAKAKIS,Stylianos,19:08,19,8,2,4,0,1,1,1,1,2,,,,,,,,,,,,3,0,,,3,GRE,USA,W,OLY2020,Player,27,ZWART,ALEXANDRESCU
683,MOURIKIS,Konstantinos,13:46,13,46,0,1,0,0,0,1,,,,,,,,,,,2,,,,0,,,0,GRE,USA,W,OLY2020,Player,27,ZWART,ALEXANDRESCU
684,KOLOMVOS,Christodoulos,11:22,11,22,1,2,0,0,1,2,,,,,,,,,,,,,,1,0,,,1,GRE,USA,W,OLY2020,Player,27,ZWART,ALEXANDRESCU
685,GKIOUVETSIS,Konstantinos,17:35,17,35,0,1,0,0,,,0,1,,,,,,,,,2,,,1,1,,,2,GRE,USA,W,OLY2020,Player,27,ZWART,ALEXANDRESCU
686,VLACHOPOULOS,Angelos,25:36:00,25,36,1,3,0,1,,,,,0,1,1,1,,,,,,,,,0,,,0,GRE,USA,W,OLY2020,Player,27,ZWART,ALEXANDRESCU
687,,,,,,14,27,4,10,2,4,4,8,0,1,2,2,2,2,6,7,7,1,4,10,4,,,14,GRE,USA,W,OLY2020,Team,27,ZWART,ALEXANDRESCU
688,HOOPER,Johnny,19:01,19,1,0,2,0,1,,,0,1,,,,,,,,,,3,4,,0,,,0,USA,GRE,L,OLY2020,Player,27,ZWART,ALEXANDRESCU
689,VAVIC,Marko,18:50,18,50,0,2,0,1,,,0,1,,,,,,,,1,,,,,0,,1,1,USA,GRE,L,OLY2020,Player,27,ALEXANDRESCU,ZWART
690,OBERT,Alex,15:24,15,24,2,3,0,0,2,2,0,1,,,,,,,2,1,,,,,1,,1,2,USA,GRE,L,OLY2020,Player,27,ALEXANDRESCU,ZWART
691,DAUBE,Hannes,18:55,18,55,0,5,0,2,,,0,1,0,1,,,0,1,,,1,,,,0,,,0,USA,GRE,L,OLY2020,Player,27,ALEXANDRESCU,ZWART
692,CUPIDO,Luca,24:52:00,24,52,0,2,0,0,,,0,1,,,,,,,,1,,,,1,0,,,1,USA,GRE,L,OLY2020,Player,27,ALEXANDRESCU,ZWART
693,HALLOCK,Ben,19:16,19,16,,,0,0,,,,,,,,,,,2,,,,,,0,,,0,USA,GRE,L,OLY2020,Player,27,ALEXANDRESCU,ZWART
694,WOODHEAD,Dylan,9:05,9,5,0,1,0,1,,,,,,,,,,,,,,,,2,0,,,2,USA,GRE,L,OLY2020,Player,27,ALEXANDRESCU,ZWART
695,BOWEN,Alex,21:39,21,39,1,10,0,4,0,1,1,5,,,,,,,1,,1,,,,2,,,2,USA,GRE,L,OLY2020,Player,27,ALEXANDRESCU,ZWART
696,STEVENSON,Ben,11:40,11,40,1,2,0,0,,,1,1,,,,,0,1,,,,,,,0,,,0,USA,GRE,L,OLY2020,Player,27,ALEXANDRESCU,ZWART
697,SMITH,Jesse,9:10,9,10,,,0,0,,,,,,,,,,,1,,,,,,1,,,1,USA,GRE,L,OLY2020,Player,27,ALEXANDRESCU,ZWART
698,IRVING,Max,24:08:00,24,8,1,2,1,2,,,,,,,,,,,,,1,,,,0,,,0,USA,GRE,L,OLY2020,Player,27,ALEXANDRESCU,ZWART
699,HOLLAND,Drew,32:00:00,32,0,,,0,0,,,,,,,,,,,,3,,,,,0,,,0,USA,GRE,L,OLY2020,Player,27,ALEXANDRESCU,ZWART
700,,,,,,5,29,1,11,2,3,2,11,0,1,,,0,2,7,6,3,3,4,3,4,,2,9,USA,GRE,L,OLY2020,Team,27,ALEXANDRESCU,ZWART
701,MANDIC,Dusan,15:15,15,15,1,3,0,2,,,,,,,1,1,,,,2,,,,,1,,1,2,SRB,MNE,W,OLY2020,Player,28,ALEXANDRESCU,ZWART
702,DEDOVIC,Nikola,25:56:00,25,56,2,5,1,4,,,,,,,,,1,1,,,1,0,2,,0,,1,1,SRB,MNE,W,OLY2020,Player,28,SEVERO,OHME
703,RANDELOVIC,Sava,10:11,10,11,0,1,0,0,,,0,1,,,,,,,2,,1,,,2,0,,,2,SRB,MNE,W,OLY2020,Player,28,SEVERO,OHME
704,LAZIC,Dorde,16:09,16,9,1,4,0,1,1,2,,,,,,,0,1,1,3,1,,,,1,,,1,SRB,MNE,W,OLY2020,Player,28,SEVERO,OHME
705,PIJETLOVIC,Dusko,18:06,18,6,2,5,0,0,1,3,1,2,,,,,,,1,1,,,,,0,,,0,SRB,MNE,W,OLY2020,Player,28,SEVERO,OHME
706,RASOVIC,Strahin a,21:15,21,15,0,1,0,0,,,0,1,,,,,,,,,1,2,2,,0,,,0,SRB,MNE,W,OLY2020,Player,28,SEVERO,OHME
707,ALEKSIC,Milan,15:08,15,8,1,2,0,1,,,1,1,,,,,,,,,,,,1,0,,,1,SRB,MNE,W,OLY2020,Player,28,SEVERO,OHME
708,JAKSIC,Nikola,16:09,16,9,1,3,0,2,,,1,1,,,,,,,,2,,,,2,0,,,2,SRB,MNE,W,OLY2020,Player,28,SEVERO,OHME
709,FILIPOVIC,Filip,17:31,17,31,3,5,0,2,,,,,,,3,3,,,,,1,,,1,0,,,1,SRB,MNE,W,OLY2020,Player,28,SEVERO,OHME
710,PRLAINOVIC,Andri a,18:54,18,54,1,5,0,2,,,0,1,0,1,1,1,,,,,1,,,,1,,1,2,SRB,MNE,W,OLY2020,Player,28,SEVERO,OHME
711,MITROVIC,Stefan,17:26,17,26,1,1,1,1,,,,,,,,,,,,,1,,,,0,,,0,SRB,MNE,W,OLY2020,Player,28,SEVERO,OHME
712,MITROVIC,Branislav,32:00:00,32,0,,,0,0,,,,,,,,,,,,,,,,,0,,,0,SRB,MNE,W,OLY2020,Player,28,SEVERO,OHME
713,,,,,,13,35,2,15,2,5,3,7,0,1,5,5,1,2,4,8,7,2,4,6,3,,3,12,SRB,MNE,W,OLY2020,Team,28,SEVERO,OHME
714,KANDIC,Slaven,32:00:00,32,0,,,0,0,,,,,,,,,,,,1,,,,,0,,,0,MNE,SRB,L,OLY2020,Player,28,SEVERO,OHME
715,BRGULJAN,Drasko,16:05,16,5,0,5,0,3,,,0,2,,,,,,,,,,1,3,,0,,2,2,MNE,SRB,L,OLY2020,Player,28,OHME,SEVERO
716,PERKOVIC,Miroslav,12:56,12,56,0,1,0,0,0,1,,,,,,,,,3,,,,,,1,,1,2,MNE,SRB,L,OLY2020,Player,28,OHME,SEVERO
717,PETKOVIC,Marko,23:13,23,13,0,3,0,2,,,0,1,,,,,,,,,,,,,0,,,0,MNE,SRB,L,OLY2020,Player,28,OHME,SEVERO
718,CUCKOVIC,Uros,12:29,12,29,0,2,0,2,,,,,,,,,,,,,,,,1,0,,,1,MNE,SRB,L,OLY2020,Player,28,OHME,SEVERO
719,POPADIC,Vlado,21:31,21,31,0,1,0,0,,,,,,,,,0,1,1,2,1,,,,0,,1,1,MNE,SRB,L,OLY2020,Player,28,OHME,SEVERO
720,VIDOVIC,Stefan,17:07,17,7,0,2,0,1,,,0,1,,,,,,,,,2,,,1,0,,1,2,MNE,SRB,L,OLY2020,Player,28,OHME,SEVERO
721,UKROPINA,Aleksa,22:07,22,7,1,6,1,4,,,0,2,,,,,,,,,1,1,1,1,0,,,1,MNE,SRB,L,OLY2020,Player,28,OHME,SEVERO
722,IVOVIC,Aleksandar,24:58:00,24,58,3,6,1,2,,,0,2,,,2,2,,,,,1,,,,0,,,0,MNE,SRB,L,OLY2020,Player,28,OHME,SEVERO
723,MATKOVIC,Dusan,25:47:00,25,47,2,5,0,3,,,1,1,,,1,1,,,,1,,,,1,1,,,2,MNE,SRB,L,OLY2020,Player,28,OHME,SEVERO
724,BANICEVIC,Dusan,15:47,15,47,,,0,0,,,,,,,,,,,1,1,,,,1,0,,,1,MNE,SRB,L,OLY2020,Player,28,OHME,SEVERO
725,TESANOVIC,Petar,,,,,,0,0,,,,,,,,,,,,,,,,,0,,,0,MNE,SRB,L,OLY2020,Player,28,OHME,SEVERO
726,,,,,,6,31,2,17,0,1,1,9,,,3,3,0,1,7,5,5,2,4,5,2,,5,12,MNE,SRB,L,OLY2020,Team,28,OHME,SEVERO
727,MUNARRIZ EGANA,Alberto,23:05,23,5,1,7,1,7,,,,,,,,,,,,,1,,,1,0,,,1,ESP,CRO,W,OLY2020,Player,29,OHME,SEVERO
728,GRANADOS ORTEGA,Alvaro,20:25,20,25,2,7,1,4,,,0,1,,,1,2,,,,,,,,,0,,,0,ESP,CRO,W,OLY2020,Player,29,KUN,STAVRIDIS
729,SANAHUJA,Bernat,13:23,13,23,1,4,0,3,,,1,1,,,,,,,,,,0,1,1,0,,,1,ESP,CRO,W,OLY2020,Player,29,KUN,STAVRIDIS
730,de TORO DOMINGUEZ,Miguel,12:52,12,52,,,0,0,,,,,,,,,,,,,,,,,0,,,0,ESP,CRO,W,OLY2020,Player,29,KUN,STAVRIDIS
731,LARUMBE GONFAUS,Marc,19:09,19,9,,,0,0,,,,,,,,,,,,1,1,,,1,0,,,1,ESP,CRO,W,OLY2020,Player,29,KUN,STAVRIDIS
732,FAMERA,Martin,19:44,19,44,1,3,0,1,,,1,2,,,,,,,,,1,3,3,,1,,,1,ESP,CRO,W,OLY2020,Player,29,KUN,STAVRIDIS
733,FERNANDEZ MIRANDA,Francisco,17:27,17,27,0,2,0,2,,,,,,,,,,,,,,,,1,0,,,1,ESP,CRO,W,OLY2020,Player,29,KUN,STAVRIDIS
734,TAHULL COMPTE,Roger,13:49,13,49,1,3,0,0,1,2,0,1,,,,,,,,1,1,,,,0,,,0,ESP,CRO,W,OLY2020,Player,29,KUN,STAVRIDIS
735,PERRONE ROCHA,Felipe,22:15,22,15,0,3,0,2,,,0,1,,,,,,,,1,1,,,1,0,,,1,ESP,CRO,W,OLY2020,Player,29,KUN,STAVRIDIS
736,MALLARACH GUELL,Blai,12:50,12,50,1,2,0,1,,,1,1,,,,,,,1,,,,,,0,,,0,ESP,CRO,W,OLY2020,Player,29,KUN,STAVRIDIS
737,BUSTOS SANCHEZ,Ale andro,17:01,17,1,1,1,0,0,,,1,1,,,,,,,1,1,1,,,1,0,,,1,ESP,CRO,W,OLY2020,Player,29,KUN,STAVRIDIS
738,AGUIRRE,Unai,32:00:00,32,0,,,0,0,,,,,,,,,,,,,,,,,0,,,0,ESP,CRO,W,OLY2020,Player,29,KUN,STAVRIDIS
739,,,,,,8,32,2,20,1,2,4,8,,,1,2,,,5,4,6,3,4,6,1,,,7,ESP,CRO,W,OLY2020,Team,29,KUN,STAVRIDIS
740,BIJAC,Marko,24:00:00,24,0,,,0,0,,,,,,,,,,,,1,,,,,0,,,0,CRO,ESP,L,OLY2020,Player,29,KUN,STAVRIDIS
741,MACAN,Marko,7:55,7,55,1,1,0,0,,,1,1,,,,,,,,,,,,2,0,,1,3,CRO,ESP,L,OLY2020,Player,29,STAVRIDIS,KUN
742,FATOVIC,Loren,19:36,19,36,1,6,1,5,,,0,1,,,,,,,1,,,,,1,0,,,1,CRO,ESP,L,OLY2020,Player,29,STAVRIDIS,KUN
743,LONCAR,Luka,18:35,18,35,0,1,0,0,0,1,,,,,,,,,1,,,,,,0,,,0,CRO,ESP,L,OLY2020,Player,29,STAVRIDIS,KUN
744,JOKOVIC,Maro,25:04:00,25,4,0,3,0,2,,,,,0,1,,,,,,,1,,,1,0,,,1,CRO,ESP,L,OLY2020,Player,29,STAVRIDIS,KUN
745,BUKIC,Luka,26:51:00,26,51,2,6,1,4,,,1,2,,,,,,,,2,,1,2,,0,,,0,CRO,ESP,L,OLY2020,Player,29,STAVRIDIS,KUN
746,VUKICEVIC,Ante,24:11:00,24,11,0,5,0,3,,,0,2,,,,,,,,,1,,,,0,,,0,CRO,ESP,L,OLY2020,Player,29,STAVRIDIS,KUN
747,BUSLJE,Andro,14:55,14,55,0,4,0,3,,,0,1,,,,,,,,,1,,,,2,,,2,CRO,ESP,L,OLY2020,Player,29,STAVRIDIS,KUN
748,MILOS,Lovre,21:04,21,4,,,0,0,,,,,,,,,,,,1,,0,2,,0,,1,1,CRO,ESP,L,OLY2020,Player,29,STAVRIDIS,KUN
749,VRLIC,Josip,14:36,14,36,,,0,0,,,,,,,,,,,,,1,,,1,0,,,1,CRO,ESP,L,OLY2020,Player,29,STAVRIDIS,KUN
750,GARCIA GADEA,Javier,19:13,19,13,0,2,0,1,,,0,1,,,,,,,,,1,,,,1,,,1,CRO,ESP,L,OLY2020,Player,29,STAVRIDIS,KUN
751,MARCELIC,Ivan,8:00,8,0,,,0,0,,,,,,,,,,,,1,,,,,0,,,0,CRO,ESP,L,OLY2020,Player,29,STAVRIDIS,KUN
752,,,,,,4,28,2,18,0,1,2,8,0,1,,,,,2,5,5,1,4,5,3,,2,10,CRO,ESP,L,OLY2020,Team,29,STAVRIDIS,KUN
753,CAMPBELL,Richard,23:11,23,11,2,5,0,1,,,2,4,,,,,,,,1,,,,2,0,,,2,AUS,KAZ,W,OLY2020,Player,30,STAVRIDIS,KUN
754,FORD,George,12:10,12,10,,,0,0,,,,,,,,,,,,,,,,,1,,,1,AUS,KAZ,W,OLY2020,Player,30,GOLDENBERG,MOLLER
755,TOMASEVIC,Goran,12:53,12,53,0,2,0,0,0,1,0,1,,,,,,,2,1,,,,2,0,,,2,AUS,KAZ,W,OLY2020,Player,30,GOLDENBERG,MOLLER
756,POWER,Nathan,10:41,10,41,0,1,0,0,,,0,1,,,,,,,,,,,,1,0,,,1,AUS,KAZ,W,OLY2020,Player,30,GOLDENBERG,MOLLER
757,EDWARDS,Lachlan Robert,19:52,19,52,1,3,0,0,1,3,,,,,,,,,2,,,,,1,0,,,1,AUS,KAZ,W,OLY2020,Player,30,GOLDENBERG,MOLLER
758,ROACH,Aidan,11:04,11,4,,,0,0,,,,,,,,,,,1,1,,,,,2,,,2,AUS,KAZ,W,OLY2020,Player,30,GOLDENBERG,MOLLER
759,YOUNGER,Aaron,20:43,20,43,2,5,1,3,,,1,1,,,,,0,1,,2,,,,1,0,,,1,AUS,KAZ,W,OLY2020,Player,30,GOLDENBERG,MOLLER
760,FORD,Andrew,19:37,19,37,1,4,1,3,,,0,1,,,,,,,,,,,,1,1,,,2,AUS,KAZ,W,OLY2020,Player,30,GOLDENBERG,MOLLER
761,PUTT,Timothy Francis,14:49,14,49,1,2,1,1,0,1,,,,,,,,,,,,,,,0,,,0,AUS,KAZ,W,OLY2020,Player,30,GOLDENBERG,MOLLER
762,HOWDEN,Rhys,19:02,19,2,5,7,2,3,,,3,4,,,,,,,,1,,4,4,,0,,,0,AUS,KAZ,W,OLY2020,Player,30,GOLDENBERG,MOLLER
763,EDWARDS,Blake,27:58:00,27,58,3,4,1,2,,,,,,,,,2,2,,2,,,,1,0,,,1,AUS,KAZ,W,OLY2020,Player,30,GOLDENBERG,MOLLER
764,DENNERLEY,Joel,32:00:00,32,0,,,0,0,,,,,,,,,,,,,,,,,0,,,0,AUS,KAZ,W,OLY2020,Player,30,GOLDENBERG,MOLLER
765,,,,,,15,33,6,13,1,5,6,12,,,,,2,3,5,8,,4,4,9,4,,,13,AUS,KAZ,W,OLY2020,Team,30,GOLDENBERG,MOLLER
766,MAKHMETOV,Madikhan,32:00:00,32,0,,,0,0,,,,,,,,,,,,,,,,,0,,,0,KAZ,AUS,L,OLY2020,Player,30,GOLDENBERG,MOLLER
767,MEDVEDEV,Yevgeniy,22:20,22,20,0,3,0,2,,,0,1,,,,,,,,1,1,,,,2,,,2,KAZ,AUS,L,OLY2020,Player,30,MOLLER,GOLDENBERG
768,AUBAKIROV,Miras,22:13,22,13,,,0,0,,,,,,,,,,,1,,,0,1,,1,,,1,KAZ,AUS,L,OLY2020,Player,30,MOLLER,GOLDENBERG
769,MARKOVIC,Dusan,20:12,20,12,0,2,0,1,,,0,1,,,,,,,,1,3,,,1,0,,,1,KAZ,AUS,L,OLY2020,Player,30,MOLLER,GOLDENBERG
770,SHMIDER,Alexey,21:17,21,17,1,4,0,2,,,1,2,,,,,,,,,,,,1,0,,,1,KAZ,AUS,L,OLY2020,Player,30,MOLLER,GOLDENBERG
771,ARTYUKH,Danil,5:24,5,24,,,0,0,,,,,,,,,,,,,,,,3,0,,,3,KAZ,AUS,L,OLY2020,Player,30,MOLLER,GOLDENBERG
772,SHAKENOV,Murat,24:48:00,24,48,2,5,2,5,,,,,,,,,,,,1,1,,,,2,,,2,KAZ,AUS,L,OLY2020,Player,30,MOLLER,GOLDENBERG
773,VUKSANOVIC,Srdan,2:10,2,10,0,2,0,0,,,0,2,,,,,,,,,,0,1,,0,,,0,KAZ,AUS,L,OLY2020,Player,30,MOLLER,GOLDENBERG
774,UKUMANOV,Rustam,21:31,21,31,2,4,0,0,1,1,1,3,,,,,,,,,1,,,,1,,,1,KAZ,AUS,L,OLY2020,Player,30,MOLLER,GOLDENBERG
775,RUDAY,Mikhail,16:29,16,29,1,3,1,1,0,2,,,,,,,,,,,,,,1,0,,,1,KAZ,AUS,L,OLY2020,Player,30,MOLLER,GOLDENBERG
776,ALTAYEV,Altay,15:12,15,12,0,1,0,0,0,1,,,,,,,,,,,,,,,0,,,0,KAZ,AUS,L,OLY2020,Player,30,MOLLER,GOLDENBERG
